url,label
http://amazon.com.billing-secure-password.zip/account,1
http://stackoverflow.com/support,0
https://microsoft.com/contact?page=204&lang=en-in,0
http://update-netflix-alert-verify.xyz/update?next=http%3A//microsoft.zip/secure,1
https://apple.com.payment-confirm-account.tk/update,1
https://www.microsoft.com,0
http://117.31.135.114/update?return=https%3A//paypal.com,1
https://account-netflix-login-billing.zip/secure?dest=http%3A//apple.click/session,1
http://72.31.89.62/auth?return=https%3A//instagram.com,1
http://apple.com.password-wallet-account.gq/session?continue=http%3A//google.work/secure,1
http://80.30.88.46/update?dest=https%3A//paypal.com,1
http://71.113.171.238/session?continue=https%3A//netflix.com,1
http://apple.com.login-payment-account.top/verify?url=http%3A//netflix.support/account,1
https://stackoverflow.com/pricing/contact?page=362&lang=en-in,0
http://whatsapp.com.password-billing-login.tk/account,1
https://4m4zon-password-update.work/secure?dest=http%3A//github.gq/session,1
http://stackoverflow.com?page=198&lang=en-us,0
https://microsoft.com/pricing/support?page=298&lang=en-in,0
https://stackoverflow.com/help?page=599&lang=en-us,0
https://paypal.com.secure-alert-wallet.support/billing?redirect=http%3A//instagram.work/session,1
https://am4z0n-billing-update.zip/secure,1
http://secure-instagram-account-confirm.gq/secure?url=http%3A//whatsapp.work/secure,1
https://stackoverflow.com/about/products/community,0
http://144.227.237.93/secure?return=https%3A//facebook.com,1
https://stackoverflow.com/docs/pricing,0
http://stackoverflow.com/careers,0
http://147.245.217.45/session?return=https%3A//netflix.com,1
http://microsoft.com/docs,0
http://whatsapp.com.update-alert-payment.work/session,1
https://stackoverflow.com/community/updates,0
https://microsoft.com/about,0
http://m1cro5oft-billing-payment.xyz/account?continue=http%3A//apple.work/auth,1
https://stackoverflow.com/pricing/support?page=159&lang=en-us,0
https://microsoft.com/news?page=350&lang=en-us,0
http://secure-netflix-update-confirm.top/auth?continue=http%3A//facebook.work/update,1
http://n3tfl1x-secure-billing.support/account,1
http://confirm-amazon-account-update.zip/auth?next=http%3A//microsoft.zip/verify,1
http://alert-amazon-payment-password.top/account?next=http%3A//google.support/secure,1
http://stackoverflow.com/updates/careers,0
http://91.213.64.247/update?next=https%3A//apple.com,1
http://214.204.160.233/auth?continue=https%3A//amazon.com,1
http://password-whatsapp-signin-account.support/verify,1
http://stackoverflow.com/community?page=43&lang=en,0
https://stackoverflow.com/updates?page=203&lang=en-in,0
https://password-apple-alert-verify.tk/secure,1
http://stackoverflow.com/about/support?page=449&lang=en,0
http://password-apple-secure-payment.zip/billing?return=http%3A//google.gq/update,1
http://g17hub-update-alert.xyz/account?continue=http%3A//facebook.tk/session,1
http://stackoverflow.com/updates,0
https://stackoverflow.com/news/contact/support?page=439&lang=en,0
https://microsoft.com/pricing/news?page=220&lang=en-us,0
http://verify-paypal-update-confirm.top/verify,1
http://109.133.77.154/account?next=https%3A//apple.com,1
https://alert-instagram-password-billing.xyz/secure,1
http://108.164.158.161/account?continue=https%3A//whatsapp.com,1
http://54.22.39.196/billing?continue=https%3A//netflix.com,1
https://netflix.com.account-login-signin.tk/secure?redirect=http%3A//microsoft.click/secure,1
http://facebook.com.wallet-account-password.xyz/secure,1
http://facebook.com.update-wallet-login.support/billing?continue=http%3A//amazon.work/auth,1
http://microsoft.com.update-wallet-billing.support/billing,1
http://microsoft.com.verify-alert-login.support/update?redirect=http%3A//netflix.top/session,1
https://stackoverflow.com/blog/help,0
https://microsoft.com/docs/docs?page=326&lang=en-in,0
http://microsoft.com/contact,0
https://go0gl3-verify-confirm.work/billing?return=http%3A//paypal.top/billing,1
https://stackoverflow.com/news,0
http://238.73.211.69/auth?return=https%3A//microsoft.com,1
